rank,title,press,view
,,,
1,"네, 결국 택시비만 올랐습니다",연합뉴스,"6,123"
,,,
2,LG G8 '조용한' 출시…갤S10 인기·5G폰 기대에 존재감 잃어,조선비즈,"4,850"
,,,
3,최태원 놀라게 한 이재용의 '초격차 반도체',아시아경제,"3,305"
,,,
4,"LG전자 G8 조용한 출시…""가격도 깎았는데""",한국경제,"2,837"
,,,
5,"[종목썰쩐]삼성바이오, 주총 앞두고 악재…바이오젠 치매약 개발 중단",디지털데일리,"2,190"
,,,
6,"넥슨, 듀랑고 악몽 되풀이?…크아M 여전히 불안정",파이낸셜뉴스,"1,947"
,,,
7,"[글로벌포스트] 암호화폐 시장 지배력, 비트코인↓ 알트코인↑",머니S,"1,923"
,,,
8,"카톡 PC버전 업데이트 ""달라진 화면에 반응도 천차만별""",블로터,"1,517"
,,,
9,"애플, '에어팟 2세대' 발표",한국경제,"1,225"
,,,
10,[윤진우의 부루마블] 게임 내치는 중국 정부에…해외로 눈돌리는 텐센트,ZDNet Korea,"1,215"
,,,
11,'한국 모텔 몰카 생중계' 사건 외신 앞다퉈 보도,연합뉴스,"1,206"
,,,
12,'지열발전이 포항지진 촉발'…CO₂해저저장연구에도 '불똥',동아일보,"1,131"
,,,
13,"소행성 가보니… 한 곳은 ‘축축’, 다른 곳은 ‘바짝’",이데일리,783
,,,
14,"""당연한 서비스에 왜 돈 더 내나?""…웨이고블루 택시 '숙제 가득'",ZDNet Korea,679
,,,
15,루비니 vs 부테린 '암호화폐 토론'이 기대되는 이유,아이뉴스24,609
,,,
16,"편의점으로 간 알뜰폰, 특화 서비스 늘린다",한국경제,564
,,,
17,"[이슈+] ""혁신없는 가격인상""…에어팟2, 애플 충성고객마저 떠난다",ZDNet Korea,503
,,,
18,메이트X 등 中 스마트폰 잇따라 유럽 5G 인증,뉴스1,488
,,,
19,"페북, 암호화 않고 이용자 비밀번호 저장 '최대 6억명 피해'",연합뉴스,467
,,,
20,"삼성바이오, 국민연금 반대에도 '잡음없이' 주총 원안 승인",국민일보,438
,,,
21,"“원UI, 쓰기 편하고 간결… 폴더블폰·태블릿PC에도 적합”",전자신문,426
,,,
22,"중국업체, 국산 배터리 탑재 전기차 5대 형식승인 신청",블로터,408
,,,
23,리디는 왜 전자책 단말기를 직접 만들까,이데일리,406
,,,
24,"대한민국 5G 상용화, 4월5일 확정..갤럭시S10 5G로 가입가능",아시아경제,369
,,,
25,[과학을읽다]'물부족' 체감 못하는 한국…현실은 '물기근'?,이데일리,349
